iter	Passed	Remaining
0	1	1213
1	3	1197
2	4	1217
3	6	1179
4	7	1158
5	9	1152
6	10	1139
7	12	1128
8	13	1120
9	14	1113
10	16	1115
11	17	1114
12	19	1103
13	20	1090
14	21	1086
15	23	1081
16	24	1075
17	26	1072
18	27	1069
19	28	1064
20	30	1059
21	31	1057
22	32	1050
23	34	1043
24	35	1038
25	36	1039
26	38	1037
27	39	1037
28	41	1035
29	42	1030
30	43	1027
31	45	1021
32	46	1018
33	47	1018
34	49	1017
35	51	1024
36	52	1019
37	53	1014
38	54	1009
39	56	1006
40	57	1002
41	58	1000
42	60	998
43	61	996
44	62	994
45	64	992
46	65	988
47	66	986
48	67	983
49	69	981
50	70	983
51	72	982
52	73	980
53	74	975
54	76	974
55	77	972
56	78	969
57	80	965
58	81	962
59	82	960
60	83	957
61	85	954
62	86	950
63	87	949
64	88	948
65	90	947
66	91	946
67	93	946
68	94	945
69	95	942
70	97	939
71	98	936
72	99	935
73	101	934
74	102	932
75	103	931
76	105	930
77	106	929
78	108	928
79	109	926
80	110	925
81	112	924
82	113	922
83	114	921
84	116	920
85	117	919
86	119	918
87	120	916
88	121	915
89	123	913
90	124	910
91	125	907
92	126	905
93	127	903
94	129	901
95	130	898
96	131	896
97	133	895
98	134	893
99	135	890
100	136	888
101	137	887
102	139	886
103	140	884
104	141	882
105	143	881
106	144	880
107	146	878
108	147	876
109	148	874
110	149	873
111	151	872
112	152	870
113	153	868
114	155	867
115	156	866
116	157	864
117	158	862
118	160	862
119	161	861
120	163	859
121	164	857
122	165	856
123	167	855
124	168	854
125	170	853
126	171	852
127	172	851
128	174	850
129	175	848
130	177	847
131	178	845
132	179	843
133	180	841
134	181	839
135	183	837
136	184	837
137	185	835
138	187	833
139	188	832
140	190	832
141	191	831
142	192	829
143	194	827
144	195	826
145	196	824
146	198	823
147	199	822
148	201	821
149	202	819
150	203	818
151	205	817
152	206	816
153	207	814
154	209	813
155	210	812
156	211	810
157	212	808
158	214	807
159	215	806
160	217	804
161	218	802
162	219	801
163	220	799
164	222	800
165	224	799
166	225	798
167	227	797
168	228	796
169	229	794
170	231	793
171	232	792
172	233	790
173	235	789
174	236	787
175	237	786
176	239	785
177	240	783
178	241	781
179	243	780
180	244	779
181	245	778
182	247	777
183	248	775
184	250	774
185	251	773
186	252	772
187	254	770
188	255	769
189	256	767
190	258	766
191	259	765
192	260	763
193	262	762
194	263	760
195	264	759
196	266	758
197	267	756
198	268	754
199	270	753
200	271	752
201	273	751
202	274	750
203	275	749
204	277	748
205	278	747
206	280	745
207	281	744
208	282	743
209	284	742
210	285	741
211	287	739
212	288	738
213	290	737
214	291	735
215	292	734
216	294	733
217	295	731
218	296	729
219	297	728
220	299	727
221	300	725
222	302	724
223	303	723
224	304	722
225	306	720
226	307	719
227	308	717
228	310	716
229	311	715
230	312	714
231	314	712
232	315	710
233	316	709
234	318	708
235	319	706
236	320	704
237	321	703
238	323	701
239	324	700
240	325	698
241	327	697
242	328	696
243	329	694
244	331	693
245	332	691
246	333	690
247	335	689
248	336	688
249	337	686
250	339	685
251	340	684
252	342	682
253	343	681
254	345	680
255	346	679
256	347	678
257	349	676
258	350	675
259	351	673
260	353	672
261	354	671
262	355	669
263	357	668
264	358	666
265	359	665
266	360	663
267	362	662
268	363	660
269	364	658
270	365	657
271	367	655
272	368	654
273	369	653
274	371	651
275	372	650
276	373	649
277	375	647
278	376	646
279	377	644
280	378	643
281	380	641
282	381	640
283	382	638
284	384	637
285	385	636
286	386	634
287	388	633
288	389	632
289	391	631
290	392	629
291	393	628
292	395	627
293	396	625
294	397	624
295	399	622
296	400	621
297	401	620
298	403	619
299	404	617
300	405	616
301	407	614
302	408	613
303	409	611
304	410	610
305	412	608
306	413	607
307	415	606
308	416	605
309	417	603
310	419	602
311	420	601
312	421	599
313	423	598
314	424	597
315	425	595
316	427	594
317	428	593
318	429	591
319	431	590
320	432	589
321	434	587
322	435	586
323	436	585
324	438	583
325	439	582
326	440	581
327	442	579
328	443	578
329	444	577
330	446	575
331	447	574
332	449	573
333	450	571
334	451	570
335	453	569
336	454	567
337	455	566
338	457	564
339	458	563
340	459	562
341	461	561
342	462	559
343	464	558
344	465	557
345	466	555
346	467	554
347	469	552
348	470	551
349	471	549
350	473	548
351	474	547
352	475	546
353	477	544
354	478	543
355	480	542
356	481	540
357	482	539
358	484	538
359	485	537
360	486	535
361	488	534
362	489	532
363	490	531
364	492	530
365	493	528
366	495	527
367	496	526
368	497	524
369	498	523
370	500	521
371	501	520
372	503	519
373	504	517
374	505	516
375	507	515
376	508	513
377	509	512
378	511	511
379	512	509
380	513	508
381	515	507
382	516	505
383	518	504
384	519	503
385	520	502
386	522	500
387	523	499
388	524	498
389	526	496
390	527	495
391	529	494
392	530	492
393	531	491
394	533	489
395	534	488
396	535	487
397	537	486
398	538	484
399	540	483
400	541	482
401	543	481
402	544	479
403	546	478
404	547	477
405	548	475
406	550	474
407	551	473
408	552	471
409	553	470
410	555	468
411	556	467
412	558	466
413	559	465
414	561	463
415	562	462
416	564	461
417	565	459
418	566	458
419	568	457
420	569	456
421	571	454
422	572	453
423	574	452
424	575	450
425	576	449
426	577	447
427	579	446
428	580	445
429	581	443
430	583	442
431	584	441
432	586	439
433	587	438
434	588	436
435	589	435
436	591	434
437	592	432
438	593	431
439	594	429
440	596	428
441	597	427
442	598	425
443	600	424
444	601	423
445	602	421
446	604	420
447	605	419
448	607	417
449	608	416
450	609	415
451	611	413
452	612	412
453	614	411
454	615	410
455	617	408
456	619	407
457	620	406
458	621	404
459	622	403
460	624	402
461	625	400
462	626	399
463	628	397
464	629	396
465	630	395
466	632	393
467	633	392
468	634	391
469	636	389
470	637	388
471	638	387
472	639	385
473	641	384
474	642	382
475	643	381
476	645	380
477	646	378
478	647	377
479	648	375
480	649	374
481	651	372
482	652	371
483	653	370
484	655	368
485	656	367
486	658	366
487	659	364
488	660	363
489	662	362
490	663	360
491	664	359
492	666	358
493	667	356
494	669	355
495	670	354
496	672	352
497	673	351
498	674	350
499	676	349
500	677	347
501	679	346
502	680	345
503	681	343
504	682	342
505	684	340
506	685	339
507	687	338
508	688	336
509	689	335
510	690	333
511	692	332
512	693	331
513	695	330
514	696	328
515	698	327
516	699	326
517	701	324
518	702	323
519	703	322
520	704	320
521	706	319
522	707	318
523	709	316
524	710	315
525	711	313
526	713	312
527	714	311
528	715	309
529	717	308
530	718	307
531	719	305
532	721	304
533	722	303
534	723	301
535	725	300
536	726	298
537	727	297
538	728	296
539	730	294
540	731	293
541	732	292
542	734	290
543	735	289
544	737	288
545	738	286
546	739	285
547	741	284
548	742	282
549	743	281
550	744	279
551	746	278
552	747	277
553	749	275
554	750	274
555	751	273
556	753	271
557	754	270
558	755	269
559	757	267
560	758	266
561	759	264
562	761	263
563	762	262
564	763	260
565	765	259
566	766	258
567	767	256
568	769	255
569	770	254
570	772	252
571	773	251
572	774	250
573	776	248
574	777	247
575	779	246
576	780	244
577	782	243
578	783	242
579	784	240
580	786	239
581	787	238
582	788	236
583	790	235
584	791	234
585	792	232
586	794	231
587	795	229
588	796	228
589	798	227
590	799	225
591	800	224
592	802	223
593	803	221
594	804	220
595	806	219
596	807	217
597	808	216
598	809	214
599	811	213
600	812	212
601	813	210
602	814	209
603	815	207
604	816	206
605	818	205
606	819	203
607	820	202
608	821	201
609	823	199
610	824	198
611	825	197
612	827	195
613	828	194
614	829	192
615	831	191
616	832	190
617	833	188
618	834	187
619	836	186
620	837	184
621	838	183
622	839	182
623	841	180
624	842	179
625	843	177
626	845	176
627	846	175
628	847	173
629	849	172
630	850	171
631	851	169
632	853	168
633	854	167
634	855	165
635	856	164
636	858	162
637	859	161
638	860	160
639	862	158
640	863	157
641	864	156
642	866	154
643	867	153
644	868	152
645	869	150
646	870	149
647	872	148
648	873	146
649	874	145
650	876	144
651	877	142
652	878	141
653	879	139
654	881	138
655	882	137
656	884	135
657	885	134
658	886	133
659	888	131
660	889	130
661	891	129
662	892	127
663	893	126
664	895	125
665	896	123
666	897	122
667	899	121
668	900	119
669	901	118
670	903	117
671	904	115
672	905	114
673	907	113
674	908	111
675	909	110
676	911	109
677	912	107
678	913	106
679	915	104
680	916	103
681	917	102
682	919	100
683	920	99
684	921	98
685	923	96
686	924	95
687	925	94
688	927	92
689	928	91
690	929	90
691	930	88
692	932	87
693	933	86
694	935	84
695	936	83
696	938	82
697	939	80
698	941	79
699	942	78
700	943	76
701	945	75
702	946	74
703	947	72
704	949	71
